INST	FETCH	DISP	SCHED	EXEC	STATE
1	10	11	12	13	16
2	10	11	12	13	14
3	24	25	26	27	29
4	24	25	26	27	28
5	38	39	40	41	44
6	38	39	40	41	43
7	48	49	50	51	54
8	48	49	50	51	54
9	48	49	50	51	52
10	62	63	64	65	67
11	72	73	74	75	77
12	72	73	74	75	78
13	72	73	74	75	78
14	72	73	74	75	76
15	86	87	88	89	90
16	86	87	88	89	90
17	96	97	98	99	100
18	110	111	112	113	114
19	124	125	126	127	128
20	124	125	126	127	128
21	124	125	126	127	128
22	124	125	126	130	131
23	125	126	127	128	129
24	125	126	127	128	129
25	125	126	127	128	130
26	135	136	137	138	139
27	139	140	141	142	144
28	139	140	141	142	143
29	139	140	141	146	148
30	139	140	141	142	143
31	140	141	142	150	152
32	140	141	142	143	144
33	140	141	142	154	156
34	140	141	142	143	144
35	141	142	143	158	160
36	141	142	143	144	145
37	141	142	143	162	164
38	141	142	143	144	145
39	142	143	144	166	168
40	142	143	144	145	146
41	142	143	144	170	172
42	142	143	144	145	146
43	143	144	145	174	176
44	143	144	145	146	147
45	143	144	145	178	180
46	143	144	145	146	147
47	144	145	146	182	184
48	144	145	146	147	148
49	144	145	146	186	188
50	144	145	146	147	148
51	145	146	147	190	192
52	145	146	147	148	149
53	145	146	150	194	196
54	145	146	150	151	152
55	146	147	154	198	200
56	146	147	154	155	156
57	146	147	158	202	204
58	146	147	158	159	160
59	147	148	162	206	208
60	147	148	162	163	164
61	147	148	166	210	212
62	147	148	166	167	168
63	148	149	170	214	216
64	148	149	170	171	172
65	148	149	174	218	220
66	148	149	174	175	176
67	149	150	178	222	224
68	149	150	178	179	180
69	149	150	182	226	228
70	149	150	182	183	184
71	150	151	186	230	232
72	150	151	186	187	188
73	150	151	190	234	236
74	150	151	190	191	192
75	151	152	194	238	240
76	151	152	194	195	196
77	151	152	198	242	244
78	151	152	198	199	200
79	152	153	202	246	248
80	152	153	202	203	204
81	152	153	206	250	252
82	152	153	206	207	208
83	153	154	210	254	256
84	153	154	210	211	212
85	153	154	214	258	260
86	153	154	214	215	216
87	154	155	218	262	264
88	154	155	218	219	220
89	220	221	222	223	224
90	220	221	222	226	227
91	220	221	222	223	224
92	220	221	222	226	227
93	221	222	223	224	225
94	221	222	223	224	225
95	221	222	223	224	227
96	231	232	233	234	235
97	231	232	233	234	235
98	231	232	233	234	236
99	231	232	233	234	237
100	232	233	234	235	236
101	232	233	234	235	236
102	232	233	234	235	237
103	232	233	234	235	238
104	243	244	245	246	247
105	243	244	245	246	247
106	243	244	245	246	248
107	243	244	245	246	249
108	244	245	246	247	248
109	244	245	246	247	249
110	244	245	246	247	248
111	244	245	246	247	248
112	255	256	257	258	259
113	255	256	257	261	262
114	255	256	257	258	261
115	255	256	257	258	261
116	256	257	258	259	260
117	256	257	258	259	262
118	256	257	258	259	262
119	256	257	258	259	260
120	267	268	269	270	273
121	267	268	269	270	273
122	267	268	269	270	271
123	281	282	283	284	285
124	291	292	293	294	295
125	291	292	293	294	295
126	291	292	293	297	298
127	291	292	293	300	303
128	292	293	294	297	300
129	292	293	294	295	296
130	292	293	294	297	300
131	292	293	294	295	298
132	303	304	305	306	307
133	303	304	305	306	309
134	303	304	305	306	309
135	303	304	305	306	307
136	304	305	306	307	310
137	304	305	306	307	310
138	304	305	306	311	312
139	312	313	314	315	316
140	312	313	314	318	321
141	312	313	314	315	318
142	312	313	314	315	316
143	326	327	328	329	330
144	326	327	328	329	330
145	326	327	328	329	331
146	326	327	328	329	330
147	327	328	329	330	331
148	327	328	329	333	334
149	337	338	339	340	342
150	337	338	339	340	341
151	337	338	339	340	341
152	351	352	353	354	356
153	351	352	353	354	357
154	351	352	353	354	355
155	351	352	353	354	357
156	352	353	354	355	358
157	352	353	354	359	362
158	362	363	364	365	366
159	362	363	364	368	369
160	362	363	364	371	372
161	362	363	364	365	368
162	363	364	365	366	369
163	363	364	365	366	367
164	363	364	365	369	370
165	363	364	365	366	367
166	374	375	376	377	380
167	374	375	376	382	385
168	374	375	376	377	378
169	374	375	376	377	380
170	375	376	377	380	383
171	375	376	377	382	383
172	393	394	395	396	398
173	403	404	405	406	407
174	403	404	405	406	407
175	403	404	405	406	408
176	403	404	405	410	412
177	404	405	406	407	410
178	404	405	406	407	410
179	404	405	406	407	408
180	404	405	406	407	408
181	415	416	417	418	421
182	415	416	417	418	419
183	429	430	431	432	433
184	443	444	445	446	447
185	443	444	445	446	447
186	443	444	445	446	447
187	443	444	445	447	448
188	444	445	446	449	450
189	460	461	462	463	466
190	460	461	462	463	466
191	460	461	462	468	469
192	479	480	481	482	484
193	479	480	481	482	484
194	479	480	481	486	487
195	479	480	481	486	488
196	480	481	482	483	484
197	480	481	482	483	485
198	490	491	492	493	495
199	490	491	492	493	495
200	490	491	492	493	494
201	490	491	492	493	494
202	491	492	493	494	497
203	491	492	493	494	496
204	491	492	493	498	500
205	491	492	493	502	503
206	502	503	504	505	506
207	502	503	504	505	506
208	502	503	504	505	506
209	502	503	504	506	507
210	503	504	505	506	507
211	503	504	505	506	507
212	503	504	505	508	509
213	503	504	505	508	509
214	514	515	516	517	520
215	514	515	516	517	520
216	514	515	516	517	520
217	514	515	516	518	521
218	515	516	517	518	519
219	515	516	517	521	524
220	515	516	517	518	519
221	529	530	531	532	533
222	529	530	531	532	533
223	529	530	531	532	533
224	529	530	531	533	534
225	544	545	546	547	548
226	554	555	556	557	559
227	554	555	556	557	558
228	568	569	570	571	574
229	568	569	570	571	572
230	568	569	570	571	572
231	568	569	570	574	575
232	585	586	587	588	589
233	585	586	587	588	589
234	585	586	587	588	589
235	599	600	601	602	603
236	599	600	601	605	606
237	599	600	601	608	609
238	599	600	601	602	605
239	600	601	602	603	604
240	600	601	602	608	609
241	600	601	602	608	609
242	600	601	602	603	604
243	611	612	613	614	615
244	611	612	613	614	615
245	611	612	613	614	617
246	611	612	613	614	615
247	612	613	614	615	618
248	612	613	614	615	616
249	612	613	614	615	616
250	612	613	614	615	616
251	623	624	625	626	627
252	623	624	625	626	627
253	623	624	625	626	627
254	623	624	625	629	630
255	624	625	626	627	628
256	624	625	626	630	631
257	624	625	626	627	628
258	624	625	626	630	631
259	641	642	643	644	645
260	641	642	643	644	645
261	641	642	643	644	645
262	641	642	643	645	646
263	642	643	644	645	646
264	642	643	644	645	646
265	642	643	644	646	647
266	652	653	654	655	656
267	652	653	654	655	656
268	652	653	654	658	659
269	652	653	654	655	656
270	653	654	655	656	657
271	667	668	669	670	671
272	667	668	669	670	673
273	667	668	669	670	671
274	667	668	669	670	671
275	668	669	670	675	676
276	668	669	670	673	674
277	668	669	670	671	672
278	668	669	670	671	672
279	679	680	681	682	683
280	679	680	681	682	683
281	683	684	685	686	687
282	683	684	685	686	687
283	683	684	685	686	687
284	683	684	685	687	688
285	684	685	686	687	688
286	684	685	686	687	688
287	684	685	686	688	689
288	684	685	686	688	689
289	685	686	687	688	689
290	685	686	687	691	692
291	685	686	687	689	690
292	685	686	687	689	690
293	686	687	689	690	691
294	686	687	689	690	693
295	686	687	689	690	691
296	686	687	689	694	695
297	687	688	690	695	696
298	687	688	690	693	694
299	687	688	690	691	692
300	687	688	691	692	693
301	688	689	691	692	693
302	688	689	691	695	696
303	688	689	692	695	696
304	688	689	692	696	697
305	689	690	693	696	697
306	689	690	693	696	697
307	689	690	694	697	698
308	689	690	694	697	698
309	690	691	695	697	698
310	690	691	695	698	699
311	690	691	696	698	699
312	690	691	697	701	702
313	691	692	698	699	700
314	691	692	698	699	700
315	691	692	698	699	700
316	691	692	698	699	702
317	692	693	699	700	701
318	692	693	699	704	705
319	715	716	717	718	719
320	715	716	717	718	719
321	715	716	717	718	721
322	725	726	727	728	729
323	739	740	741	742	743
324	739	740	741	742	743
325	739	740	741	742	745
326	739	740	741	742	743
327	750	751	752	753	754
328	750	751	752	756	757
329	750	751	752	759	760
330	750	751	752	753	754
331	751	752	753	759	762
332	751	752	753	754	755
333	751	752	753	757	758
334	751	752	753	754	755
335	762	763	764	765	766
336	762	763	764	765	766
337	762	763	764	765	766
338	776	777	778	779	780
339	776	777	778	779	780
340	776	777	778	779	782
341	786	787	788	789	792
342	786	787	788	789	792
343	786	787	788	789	792
344	786	787	788	790	793
345	787	788	789	790	793
346	787	788	789	790	791
347	801	802	803	804	805
348	811	812	813	814	815
349	825	826	827	828	829
350	825	826	827	828	831
351	825	826	827	828	829
352	839	840	841	842	844
353	839	840	841	842	843
354	839	840	841	842	843
355	839	840	841	842	844
